分類icon,分類,zh-tw,zh-cn,vi-vn,th-th,ko-kr,ja-jp,id-id,pt-pt,pt-br,uk-ua,tr-tr,ru-ru,ro-ro,pl-pl,nl-nl,it-it,hu-hu,he-il,fr-fr,es-es,de-de,cs-cz,KB No.,URL,USB,Note,en-us,zh-tw,zh-cn,vi-vn,th-th,ko-kr,ja-jp,id-id,pt-pt,pt-br,uk-ua,tr-tr,ru-ru,ro-ro,pl-pl,nl-nl,it-it,hu-hu,he-il,fr-fr,es-es,de-de,cs-cz
"<svg aria-hidden=""true"" class=""e-font-icon-svg e-fas-walking"" viewBox=""0 0 320 512"" xmlns=""http://www.w3.org/2000/svg ""style=""width: 20px; height: 20px;""><path d=""M208 96c26.5 0 48-21.5 48-48S234.5 0 208 0s-48 21.5-48 48 21.5 48 48 48zm94.5 149.1l-23.3-11.8-9.7-29.4c-14.7-44.6-55.7-75.8-102.2-75.9-36-.1-55.9 10.1-93.3 25.2-21.6 8.7-39.3 25.2-49.7 46.2L17.6 213c-7.8 15.8-1.5 35 14.2 42.9 15.6 7.9 34.6 1.5 42.5-14.3L81 228c3.5-7 9.3-12.5 16.5-15.4l26.8-10.8-15.2 60.7c-5.2 20.8.4 42.9 14.9 58.8l59.9 65.4c7.2 7.9 12.3 17.4 14.9 27.7l18.3 73.3c4.3 17.1 21.7 27.6 38.8 23.3 17.1-4.3 27.6-21.7 23.3-38.8l-22.2-89c-2.6-10.3-7.7-19.9-14.9-27.7l-45.5-49.7 17.2-68.7 5.5 16.5c5.3 16.1 16.7 29.4 31.7 37l23.3 11.8c15.6 7.9 34.6 1.5 42.5-14.3 7.7-15.7 1.4-35.1-14.3-43zM73.6 385.8c-3.2 8.1-8 15.4-14.2 21.5l-50 50.1c-12.5 12.5-12.5 32.8 0 45.3s32.7 12.5 45.2 0l59.4-59.4c6.1-6.1 10.9-13.4 14.2-21.5l13.5-33.8c-55.3-60.3-38.7-41.8-47.4-53.7l-20.7 51.5z""></path></svg>",Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1051274,https://www.asus.com/support/FAQ/1051274,,,[ASUS ExpertWiFi Router]Easy QR Code Scan Setup (ASUS ExpertWiFi Router),[華碩ExpertWiFi 路由器] 透過QR Code 快速設定(華碩ExpertWiFi 路由器),[华硕 ExpertWiFi 路由器] 轻松扫描 QR 码设置 (华硕 ExpertWiFi 路由器),[Router ASUS ExpertWiFi] Cài đặt dễ dàng với quét mã QR (Router ASUS ExpertWiFi),[เราเตอร์ ASUS ExpertWiFi] การตั้งค่าสแกนรหัส QR ที่ง่าย (เราเตอร์ ASUS ExpertWiFi),[ASUS ExpertWiFi 라우터] 쉬운 QR 코드 스캔 설정 (ASUS ExpertWiFi 라우터),[ASUS ExpertWiFi ルーター] QRコードスキャン設定が簡単 (ASUS ExpertWiFi ルーター),[ASUS ExpertWiFi Router] Pengaturan Pemindaian Kode QR yang Mudah (ASUS ExpertWiFi Router),[Roteador ASUS ExpertWiFi] Configuração Fácil com Escaneamento de Código QR (Roteador ASUS ExpertWiFi),[Roteador ASUS ExpertWiFi] Configuração Fácil com Escaneamento de Código QR (Roteador ASUS ExpertWiFi),[Маршрутизатор ASUS ExpertWiFi] Легке налаштування сканування QR-коду (Маршрутизатор ASUS ExpertWiFi),[ASUS ExpertWiFi Router] Kolay QR Kod Tarama Kurulumu (ASUS ExpertWiFi Router),[Маршрутизатор ASUS ExpertWiFi] Простая настройка сканирования QR-кода (Маршрутизатор ASUS ExpertWiFi),[Router ASUS ExpertWiFi] Configurare ușoară prin scanarea codului QR (Router ASUS ExpertWiFi),[Router ASUS ExpertWiFi] Łatwa konfiguracja przez skanowanie kodu QR (Router ASUS ExpertWiFi),[ASUS ExpertWiFi Router] Eenvoudige QR-code scan instelling udige QR-code scan instelling (ASUS ExpertWiFi Router),[Router ASUS ExpertWiFi] Configurazione facile con scansione del codice QR (Router ASUS ExpertWiFi),[ASUS ExpertWiFi Router] Egyszerű QR-kód beolvasásos beállítás (ASUS ExpertWiFi Router),[נתב ASUS ExpertWiFi]הגדרה קלה של סריקת קוד QR (נתב ASUS ExpertWiFi),[Routeur ASUS ExpertWiFi] Configuration facile par scan de code QR (Routeur ASUS ExpertWiFi),[Router ASUS ExpertWiFi] Configuración fácil con escaneo de código QR (Router ASUS ExpertWiFi),[ASUS ExpertWiFi Router] Einfache QR-Code-Scan-Einrichtung (ASUS ExpertWiFi Router),[ASUS ExpertWiFi Router] Snadné nastavení skenováním QR kódu (ASUS ExpertWiFi Router)
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1053609,https://www.asus.com/support/FAQ/1053609/,,,[ASUS RT series Router] Easy QR Code Scan Setup (ASUS RT series Router),[華碩 RT 系列路由器] 簡單 QR 碼掃描設定(華碩 RT 系列路由器),[华硕 RT 系列路由器] 简单 QR 码扫描设置 (华硕 RT 系列路由器),[Bộ định tuyến ASUS RT series] Thiết Lập Quét Mã QR Dễ Dàng (Bộ định tuyến ASUS RT series),[เราเตอร์ ASUS RT series] การตั้งค่าการสแกน QR Code อย่างง่าย (เราเตอร์ ASUS RT series),[ASUS RT 시리즈 라우터] 쉬운 QR 코드 스캔 설정 (ASUS RT 시리즈 라우터),[ASUS RT シリーズルーター] 簡単 QR コードスキャン設定 (ASUS RT シリーズルーター),[Router ASUS RT series] Pengaturan Pindai Kode QR Mudah (Router ASUS RT series),[Router ASUS RT series] Configuração de Digitalização de Código QR Fácil (Router ASUS RT series),[Roteador ASUS série RT] Configuração Fácil de Leitura de Código QR (Roteador ASUS série RT),[Маршрутизатор серії ASUS RT] Легке налаштування сканування QR-коду Маршрутизатор серії ASUS RT(),[ASUS RT serisi Yönlendirici] Kolay QR Kod Tarama Kurulumu (ASUS RT serisi Yönlendirici),[Маршрутизатор серии ASUS RT] Простая настройка сканирования QR-кода (Маршрутизатор серии ASUS RT),[Router ASUS seria RT] Configurare Scanare QR Code Ușoară (Router ASUS seria RT),[Router ASUS serii RT] Łatwa konfiguracja skanowania kodu QR (Router ASUS serii RT),[ASUS RT-serie Router] Gemakkelijke QR-code Scan Instelling (ASUS RT-serie Router),[Router ASUS serie RT] Configurazione Semplice della Scansione del Codice QR (Router ASUS serie RT),[ASUS RT sorozatú Router] Egyszerű QR Kód Beállítás (ASUS RT sorozatú Router),[נתב ASUS RT series] הגדרת סריקת QR Code קלה (נתב ASUS RT series),[Routeur ASUS série RT] Configuration facile de la numérisation du code QR (Routeur ASUS série RT),[Router ASUS serie RT] Configuración Fácil de Escaneo de Código QR (Router ASUS serie RT),[ASUS RT-Serie Router] Einfache QR-Code-Scan-Einrichtung (ASUS RT-Serie Router),[Router série ASUS RT] Snadné nastavení skenování QR kódu (Router série ASUS RT)
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1053610,https://www.asus.com/support/FAQ/1053610/,,,[ASUS GT series Router] Easy QR Code Scan Setup (ASUS GT series Router),[華碩 GT 系列路由器] 簡單 QR 碼掃描設定(華碩 GT 系列路由器),[华硕 GT 系列路由器] 简单 QR 码扫描设置 (华硕 GT 系列路由器),[Bộ định tuyến ASUS GT series] Thiết Lập Quét Mã QR Dễ Dàng (Bộ định tuyến ASUS GT series),[เราเตอร์ ASUS GT series] การตั้งค่าการสแกน QR Code อย่างง่าย (เราเตอร์ ASUS GT series),[ASUS GT 시리즈 라우터] 쉬운 QR 코드 스캔 설정 (ASUS GT 시리즈 라우터),[ASUS GT シリーズルーター] 簡単 QR コードスキャン設定 (ASUS GT シリーズルーター),[Router ASUS GT series] Pengaturan Pindai Kode QR Mudah (Router ASUS GT series),[Router ASUS GT series] Configuração de Digitalização de Código QR Fácil (Router ASUS GT series),[Roteador ASUS série GT] Configuração Fácil de Leitura de Código QR (Roteador ASUS série GT),[Маршрутизатор серії ASUS GT] Легке налаштування сканування QR-коду (Маршрутизатор серії ASUS GT),[ASUS GT serisi Yönlendirici] Kolay QR Kod Tarama Kurulumu (ASUS GT serisi Yönlendirici),[Маршрутизатор серии ASUS GT] Простая настройка сканирования QR-кода (Маршрутизатор серии ASUS GT),[Router ASUS seria GT] Configurare Scanare QR Code Ușoară (Router ASUS seria GT),[Router ASUS serii GT] Łatwa konfiguracja skanowania kodu QR (Router ASUS serii GT),[ASUS GT-serie Router] Gemakkelijke QR-code Scan Instelling (ASUS GT-serie Router),[Router ASUS serie GT] Configurazione Semplice della Scansione del Codice QR (Router ASUS serie GT),[ASUS GT sorozatú Router] Egyszerű QR Kód Beállítás (ASUS GT sorozatú Router),[נתב ASUS GT series] הגדרת סריקת QR Code קלה (נתב ASUS GT series),[Routeur ASUS série GT] Configuration facile de la numérisation du code QR (Routeur ASUS série GT),[Router ASUS serie GT] Configuración Fácil de Escaneo de Código QR (Router ASUS serie GT),[ASUS GT-Serie Router] Einfache QR-Code-Scan-Einrichtung (ASUS GT-Serie Router),[Router série ASUS GT] Snadné nastavení skenování QR kódu (Router série ASUS GT)
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1053611,https://www.asus.com/support/FAQ/1053611/,,,[ASUS ZenWiFi series Router]Easy QR Code Scan Setup  (ASUS ZenWiFi series Router),[華碩 ZenWiFi 系列路由器] 簡單 QR 碼掃描設定(華碩 ZenWiFi 系列路由器),[华硕 ZenWiFi 系列路由器] 简单 QR 码扫描设置 (华硕 ZenWiFi 系列路由器),[Bộ định tuyến ASUS ZenWiFi series] Thiết Lập Quét Mã QR Dễ Dàng (Bộ định tuyến ASUS ZenWiFi series),[เราเตอร์ ASUS ZenWiFi series] การตั้งค่าการสแกน QR Code อย่างง่าย (เราเตอร์ ASUS ZenWiFi series),[ASUS ZenWiFi 시리즈 라우터] 쉬운 QR 코드 스캔 설정 (ASUS ZenWiFi 시리즈 라우터),[ASUS ZenWiFi シリーズルーター] 簡単 QR コードスキャン設定 (ASUS ZenWiFi シリーズルーター),[Router ASUS ZenWiFi series] Pengaturan Pindai Kode QR Mudah (Router ASUS ZenWiFi series),[Router ASUS ZenWiFi series] Configuração de Digitalização de Código QR Fácil (Router ASUS ZenWiFi series),[Roteador ASUS série ZenWiFi] Configuração Fácil de Leitura de Código QR (Roteador ASUS série ZenWiFi),[Маршрутизатор серії ASUS ZenWiFi] Легке налаштування сканування QR-коду (Маршрутизатор серії ASUS ZenWiFi),[ASUS ZenWiFi serisi Yönlendirici] Kolay QR Kod Tarama Kurulumu (ASUS ZenWiFi serisi Yönlendirici),[Маршрутизатор серии ASUS ZenWiFi] Простая настройка сканирования QR-кода (Маршрутизатор серии ASUS ZenWiFi),[Router ASUS seria ZenWiFi] Configurare Scanare QR Code Ușoară (Router ASUS seria ZenWiFi),[Router ASUS serii ZenWiFi] Łatwa konfiguracja skanowania kodu QR (Router ASUS serii ZenWiFi),[ASUS ZenWiFi-serie Router] Gemakkelijke QR-code Scan Instelling (ASUS ZenWiFi-serie Router),[Router ASUS serie ZenWiFi] Configurazione Semplice della Scansione del Codice QR (Router ASUS serie ZenWiFi),[ASUS ZenWiFi sorozatú Router] Egyszerű QR Kód Beállítás (ASUS ZenWiFi sorozatú Router),[נתב ASUS ZenWiFi series] הגדרת סריקת QR Code קלה (נתב ASUS ZenWiFi series),[Routeur ASUS série ZenWiFi] Configuration facile de la numérisation du code QR (Routeur ASUS série ZenWiFi),[Router ASUS serie ZenWiFi] Configuración Fácil de Escaneo de Código QR (Router ASUS serie ZenWiFi),[ASUS ZenWiFi-Serie Router] Einfache QR-Code-Scan-Einrichtung (ASUS ZenWiFi-Serie Router),[Router série ASUS ZenWiFi] Snadné nastavení skenování QR kódu (Router série ASUS ZenWiFi)
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1030650,https://www.asus.com/support/FAQ/1030650,,,[Troubleshooting] Why am I unable to access my ASUS router’s settings page? ,[故障排除] 無法進入華碩無線路由器設定頁面,[故障排查] 无法进入路由器设置界面,[Giải quyết sự cố] Không thể đăng nhập trang thiết lập,[Troubleshooting] ทำไมฉันถึงเข้าสู่หน้าการตั้งค่าไม่ได้?,[문제 해결] 설정 페이지로 진입할 수 없는 이유는 무엇입니까?,[WiFiルーター][トラブルシューティング] 管理画面にアクセスすることができない,[Penanganan masalah] Tidak dapat masuk ke halaman pengaturan,[Resolução de problemas] Não dá para entrar na página de configurações,[Resolução de problemas] Não dá para entrar na página de configurações,[Усунення несправності] Чому я не можу увійти в налаштування роутера?,[Sorun giderme] Ayarlar sayfasına neden giriş yapılamıyor?,[Устранение неисправности]Почему я не могу войти в настройки роутера?,[Pași de depanare] De ce nu pot intra în pagina de setări,[Rozwiązywanie problemów] Dlaczego nie mogę wejść na stronę konfiguracyjną routera?,[Probleem Oplossen] Ik kan die instellingen pagina niet benaderen.,[Risoluzione dei problemi] Non possono entrare nella pagina Impostazioni,[Troubleshooting] Miért nem tudok belépni a beállítási oldalra?,[פתרון בעיות] מדוע אני לא יכול להיכנס לדף ההגדרה?,[Dépannage] Pourquoi ne puis-je pas accéder à la page Paramètres?,[Solución de problemas] No puedo entrar en la página de configuraciones,[Problembehandlung] Die Einstellungsseite lässt sich nicht aufrufen,[Řešení problému] Proč nemohu přejít na stránku nastavení
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1045854,https://www.asus.com/support/FAQ/1045854,,,[Wireless Router] How to access my ASUS router’s web GUI setting page via HTTPS?,[無線路由器] 如何通過網頁HTTPS進入華碩路由器的WebGUI設定頁面?,[无线路由器] 如何通过网页HTTPS进入华硕路由器的WebGUI设置页面?,[Wireless Router] Làm cách nào để truy cập trang cài đặt Web GUI của bộ định tuyến ASUS qua HTTPS?,[Wireless Router] จะเข้าถึงหน้าการตั้งค่า Web GUI ของเราเตอร์ ASUS ผ่าน HTTPS ได้อย่างไร,[무선 라우터] HTTPS를 통해 ASUS 라우터의 웹 GUI 설정 페이지에 액세스하는 방법,[WiFiルーター] ルーターの管理画面（WebGUI）にHTTPS経由でアクセスする方法,[Wireless Router] Bagaimana cara mengakses halaman pengaturan Web GUI router ASUS melalui HTTPS?,[Router Sem Fios] Como aceder à página de configuração da interface gráfica web do meu router ASUS através de HTTPS?,[Roteador Wireless] Como acessar a página de configuração da Interface Web do roteador ASUS via HTTPS?,[Бездротовий маршрутизатор] Як отримати доступ до сторінки налаштування графічного веб-інтерфейсу ASUS через HTTPS?,[Kablosuz Yönlendirici] ASUS yönlendiricinin Web GUI ayarlarına HTTPS üzerinden nasıl ulaşılır?,[Беспроводное устройство] Как настроить доступ к веб-меню роутера ASUS через протокол HTTPS?,[Wireless Router] Cum se accesează pagina de setări GUI Web a routerului ASUS prin HTTPS?,[Router bezprzewodowy] Jak uzyskać dostęp do strony ustawień sieciowego interfejsu graficznego routera ASUS poprzez protokół HTTPS?,[Draadloze router] Hoe krijg ik toegang tot de web-GUI-instellingenpagina van de ASUS-router via HTTPS?,[Router Wireless] Come accedere alla pagina delle impostazioni della GUI Web del router ASUS tramite HTTPS?,[Vezeték nélküli router] Hogyan lehet elérni az ASUS router web GUI beállítási oldalát HTTPS-en keresztül?,[נתב אלחוטי] איך לגשת לדף הגדרת ממשק המשתמש הגרפי האינטרנטי של נתב ASUS דרך HTTPS?,[Routeur sans fil] Comment accéder à la page de configuration de l'interface graphique Web du routeur ASUS via HTTPS ?,[Wireless Router] ¿Cómo acceder a la página de configuración de la Interfaz gráfica de usuario web del router ASUS a través de HTTPS?,Wie kann ich über HTTPS auf die Web-GUI des ASUS-Routers zugreifen?,[Bezdrátový router] Jak přistoupit ke stránce nastavení webového uživatelského rozhraní routeru pomocí HTTPS?
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1046911,https://www.asus.com/support/FAQ/1045119,,,[Wireless Router] What is CAPTCHA? How is it implemented?,[無線路由器] 如何關閉在路由器登入畫面的圖片驗証碼(CAPTCHA)?,[无线路由器] 如何关闭在路由器登录界面的图片验证码(CAPTCHA)?,[Wireless Router] Làm thế nào để tắt Login CAPTCHA?,[Wireless Router] จะปิดการใช้งานการเข้าสู่ระบบ CAPTCHA ได้อย่างไร,[무선 라우터] 로그인 보안 문자를 비활성화하는 방법,[WiFiルーター] ログインCAPTCHAを無効にする方法,[Router Nirkabel] Bagaimana Cara Menonaktifkan Login CAPTCHA?,[Wireless Router] Como desactivar o Login CAPTCHA?,[Roteador sem fio] Como desabilitar o login CAPTCHA?,[Бездротовий маршрутизатор] Як відключити CAPTCHA для входу?,[Kablosuz Yönlendirici] Giriş CAPTCHA Nasıl Devre Dışı Bırakılır?,[Беспроводное устройство] Как отключить CAPTCHA?,[Ruter fără fir] Cum se dezactivează CAPTCHA la conectare?,[Router bezprzewodowy] Jak wyłączyć CAPTCHA logowania?,[Draadloze router] Hoe inlog-CAPTCHA uit te schakelen?,[Router Wireless] Come Disabilitare il CAPTCHA di Accesso?,[Vezeték nélküli router] Hogyan lehet letiltani a bejelentkezési CAPTCHA-t?,[Wireless Router] How to Disable Login CAPTCHA?,[Routeur sans fil] Comment désactiver le Login CAPTCHA ?,[Wireless Router] ¿Cómo deshabilitar el captcha de inicio de sesión?,Login CAPTCHA deaktivieren,[Bezdrátový router] Jak zakázat přihlašovací systém CAPTCHA?
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1044653,https://www.asus.com/support/FAQ/1044653,,,[Wireless Router] I cannot log in to my ASUS router's web GUI using my username and password. ,[無線路由器] 如何排除無法透過帳號密碼登入華碩無線路由器控制頁面 (WEB GUI)?,[故障排查]无法通过账号密码登录路由器设置界面？,[Wireless] Khắc phục sự cố - Tôi không thể đăng nhập vào WEB GUI Bộ định tuyến ASUS thông qua tên người dùng và mật khẩu,[Wireless] การแก้ไขปัญหา - ฉันไม่สามารถเข้าสู่ระบบ ASUS Router WEB GUI ผ่านชื่อผู้ใช้และรหัสผ่าน,[무선] 문제 해결 - 사용자 이름과 암호를 사용하여 ASUS 라우터 웹 GUI에 로그인할 수 없습니다.,[WiFiルーター] ユーザー名とパスワードを使用して管理画面にログインできない場合のトラブルシューティング,[Wireless] Troubleshooting - Saya tidak dapat masuk ke ASUS Router WEB GUI melalui nama pengguna dan kata sandi,Resolução de problemas - Não consigo iniciar sessão no ASUS Router WEB GUI através do nome de utilizador e da palavra-passe,Solução de problemas - Não consigo iniciar sessão no ASUS Router WEB GUI através do nome de de usuário e da senha.,"[Бездротовий пристрій] Усунення несправності - Не можу увійти в інтерфейс роутера ASUS, вказавши логін і пароль",[Kablosuz] Sorun giderme - Kullanıcı adımı ve parolamı kullanarak ASUS Yönlendirici WEB GUI arayüzünde oturum açamıyorum,"[Беспроводное устройство] Устранение неполадки - Не могу войти в интерфейс роутера ASUS, указав логин и пароль",[Wireless] Depanare - Nu mă pot conecta la ASUS Router WEB GUI prin numele de utilizator și parola,"[Łączność bezprzewodowa] Jak rozwiązać problem, gdy nie mogę zalogować się do sieciowego interfejsu graficznego routera ASUS za pomocą nazwy użytkownika i hasła?",[Draadloos] Probleemoplossing - Ik kan niet inloggen op de ASUS Router WEB GUI via de gebruikersnaam en het wachtwoord,[Wireless] Risoluzione dei problemi - Non riesco ad accedere alla GUI WEB del router ASUS tramite il nome utente e la password,[Wireless] Hibaelhárítás - Nem tudok bejelentkezni az ASUS Router  webes felhasználói felületére a felhasználónevemmel és a jelszavammal,[אלחוטי] כיצד אוכל לתקן את הבעיה כשאני לא יכול להיכנס לממשק המשתמש הגרפי האינטרנטי של נתב ASUS באמצעות שם המשתמש והסיסמה שלי?,[Wireless] Dépannage - Je ne parviens pas à me connecter à l'interface graphique Web du routeur ASUS via le nom d'utilisateur et le mot de passe,[Wireless] No puedo iniciar sesión en ASUS Router WEB GUI a través del usuario y la contraseña,"Was mache ich, wenn ich mich nicht über Benutzernamen und Passwort bei der ASUS-Router-WEB-GUI anmelden kann?",[Wireless] Řešení problémů - Nemohu se pomocí uživatelského jména a hesla přihlásit do ASUS Router WEB GUI
,Setup / Login,設定 / 登入,设置 / 登录,Cài đặt / Đăng nhập,ตั้งค่า / เข้าสู่ระบบ,설정 / 로그인,設定 / ログイン,Pengaturan / Masuk,Configuração / Iniciar sessão,Configuração / Login,Налаштування / Вхід,Kurulum / Giriş,Настройка / Вход,Setare / Autentificare,Ustawienia / Logowanie,Instellen / Inloggen,Impostazioni / Accesso,Beállítás / Bejelentkezés,הגדרה / התחברות,Configuration / Connexion,Configuración / Iniciar sesión,Einrichten / Anmelden,Nastavení / Přihlášení,1005263,https://www.asus.com/support/FAQ/1005263,,,[Wireless Router] How do I enter my ASUS router's setting page using web GUI?,[無線路由器] 如何進入華碩無線路由器的管理介面？（ASUSWRT）,[无线路由器] 如何进入无线路由器管理页面？(ASUSWRT),[Wireless]Làm thế nào để vào GUI của router? (ASUSWRT),[Wireless Router] วิธีเข้าสู่หน้าการตั้งค่าเราเตอร์(Web GUI) (ASUSWRT),[무선 라우터] 라우터 설정 페이지(웹 GUI)(ASUSWRT)로 들어가는 방법은 무엇입니까?,[WiFiルーター] ルーターの管理画面を表示する方法,[Wireless Router] Bagaimana cara masuk ke halaman pengaturan router (Web GUI) (ASUSWRT) ?,[Roteador Sem Fio] Como entro na página de configurações do meu roteador ASUS usando a GUI web?,[Roteador sem fio] Como acessar a GUIA do roteador (ASUSWRT)?,[Бездротовий маршрутизатор] Як увійти на сторінку налаштування маршрутизатора (веб-інтерфейс) (ASUSWRT)?,[Kablosuz Yönlendirici] Yönlendiricinin grafik ayar sayfasına (Web GUI) nasıl girilir? (ASUSWRT),[Беспроводное устройство] Как войти на страницу настроек роутера (WEB UI)?,[Wireless Router] Cum să accesați interfața grafică a routerului? (Web GUI)(ASUSWRT),[Router bezprzewodowy] Jak przejść na stronę ustawień routera (sieciowy interfejs graficzny) (ASUSWRT)?,[Wireless Router] Hoe de instellingenpagina van de router (Web GUI) (ASUSWRT) openen?,[Router Wireless] Come accedere alla pagina delle impostazioni del router (Web GUI) (ASUSWRT),[Vezeték nélküli router] Hogyan léphetek be a router beállítási oldalára (Webes GUI)? (ASUSWRT),[נתב אלחוטי] כיצד להיכנס לדף ההגדרות של הנתב (ממשק המשתמש הגרפי האינטרנטי) (ASUSWRT)?,[Routeur sans fil] Comment accéder à la page de configuration du routeur (interface graphique Web) (ASUSWRT) ?,[Router Inalámbrico] ¿Cómo ingreso a la página de configuración de mi router ASUS utilizando la interfaz gráfica web?,Wie gelangt man auf die Weboberfläche des Router?,[Bezdrátový router] Jak vstoupit na stránku nastavení routeru (webové uživatelské rozhraní) (ASUSWRT) ?
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
